12. State Wise Voters Turn Out,,,,,
,,,,,
,ELECTORS,,VOTERS,,
NAME OF State/UT,GENERAL (INCLUDING INRs),SERVICE,EVM,POSTAL,VOTERS TOUROUT %
Andaman & Nicobar Islands,317878,593,207080,318,65.1230410304235
Andhra Pradesh,39345717,60250,31386624,287902,80.3800246800186
Arunachal Pradesh,798249,5314,626977,32789,82.1050745243372
Assam,21991112,58947,17932885,59868,81.5995685090911
Bihar,71063620,152670,40667344,163109,57.3330245088589
Chandigarh,646084,645,456207,430,70.6071631239669
Chhattisgarh,18999239,17223,13582366,40259,71.6359594124291
Dadra & Nagar Haveli,250021,8,198925,59,79.5843682132873
Daman & Diu,121729,11,87441,32,71.8523081977986
Goa,1135811,302,851251,2473,75.1442858236813
Gujarat,45125680,26693,28931509,196855,64.511258356233
Haryana,17951151,105859,12627847,73182,70.3384945791136
Himachal Pradesh,5262126,68028,3801766,58174,72.4170446107186
Jammu & Kashmir,7844887,77651,3509007,53737,44.9697306595437
Jharkhand,22364480,40376,14923414,43367,66.8015049951671
Karnataka,51051432,43098,35053660,105788,68.8125480359639
Kerala,26151534,53302,20311641,85527,77.8374190168563
Lakshadweep,55057,132,46877,149,85.2090090416568
Madhya Pradesh,51794677,72797,36836951,91391,71.1974945994093
Maharashtra,88564535,112411,53838389,272649,61.0204122275479
Manipur,1939244,20319,1606408,14043,82.6945089287765
Meghalaya,1911372,3424,1365074,2685,71.4310558409355
Mizoram,787777,4687,496780,3567,63.1381362434129
Nagaland,1206287,7490,1002142,5295,83.0001721897845
NCT OF Delhi,14316644,11005,8663777,18589,60.5986788202307
Odisha,32454405,43357,23720930,96239,73.2886436918333
Puducherry,973161,249,790252,643,81.2499357927287
Punjab,20781210,111463,13708085,69210,65.9431897488656
Rajasthan,48819218,136595,32255531,220950,66.3383549569486
Sikkim,432306,1822,339880,13535,81.408017911768
Tamil Nadu,58442767,60422,42160922,230731,72.460414081017
Telangana,29697279,11336,18626253,20603,62.7658206213921
Tripura,2605325,9393,2142275,12275,82.4008554651018
Uttar Pradesh,145858553,276050,86220645,311327,59.2138824231794
Uttarakhand,7765473,90845,4777548,83867,61.8790507207066
West Bengal,69891751,109533,57097266,132752,81.7556689388726
Total,908717791,1794300,610851929,2804369,67.4
,,,,,
,,,,,
Disclaimer,,,,,
"This report is based on Index Cards data made available by concerned Returning Officers on the basis of Statutory data maintained in the forms. In case of any dispute, the data maintained in the Statutory Forms by the concerned Returning Officers shall prevail.",,,,,
